dimension_id,dimension_label,source_layer,rows,funds,values,curated_rows,multivalue_rows,priority_2025_2026_rows,document_expected_rows,review_expected_rows,with_source_document,with_source_page,with_source_date,with_source_method,with_confidence,with_review_status,source_document_ratio,source_page_ratio,source_date_ratio,source_method_ratio,confidence_ratio,review_status_ratio,quality_score,confidence_median,missing_document_rows,missing_page_rows,missing_method_rows,missing_score_rows,missing_review_rows,traceability_gap_rows,traceability_priority_score
documento_local,Documento local,snapshot,4219,4219,2,0,0,0,651,0,651,0,651,4219,0,0,1.0,0.0,0.1543019672908272,1.0,0.0,,0.5354301967290828,,0,651,0,4219,0,4870,5080.95
faixa_sub_minima,Faixa sub mín.,snapshot,4219,4219,5,0,0,0,550,0,550,0,651,4219,550,0,1.0,0.0,0.1543019672908272,1.0,0.13036264517658214,,0.5615027257643992,0.75,0,550,0,3669,0,4219,4429.95
sinal_cedente_sacado,Sinal ced/sacado,snapshot,4219,4219,2,0,0,0,550,0,550,0,651,4219,550,0,1.0,0.0,0.1543019672908272,1.0,0.13036264517658214,,0.5615027257643992,0.75,0,550,0,3669,0,4219,4429.95
tem_sub_minima,Tem sub mín.,snapshot,4219,4219,2,0,0,0,550,0,550,0,651,4219,550,0,1.0,0.0,0.1543019672908272,1.0,0.13036264517658214,,0.5615027257643992,0.75,0,550,0,3669,0,4219,4429.95
chunk_docs,Chunk docs,snapshot,864,651,27,0,864,0,864,0,864,0,864,864,0,0,1.0,0.0,1.0,1.0,0.0,,0.62,,0,864,0,864,0,1728,1760.55
classe_documento,Classe documento,snapshot,780,651,4,0,780,0,780,0,780,0,780,780,0,0,1.0,0.0,1.0,1.0,0.0,,0.62,,0,780,0,780,0,1560,1592.55
publico_alvo,Público-alvo,snapshot,237,237,2,0,0,0,0,0,0,0,4,237,0,0,,,0.016877637130801686,1.0,0.0,,0.7016877637130803,,0,0,0,237,0,237,248.85
admin,Administrador,snapshot,4219,4219,52,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
camadas_evidencia,Camadas evidência,snapshot,4219,4219,6,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
condominio,Condomínio,snapshot,4219,4219,2,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
emissao_2025_2026,Emissão 25-26,snapshot,4219,4219,2,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
fic_fidc,FIC-FIDC,snapshot,4219,4219,2,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
segmento_estrategia,Segmento Estratégia,snapshot,4219,4219,10,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
snapshot_status,Status snapshot,snapshot,4219,4219,3,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
subsegmento_estrategia,Subsegmento Estratégia,snapshot,4219,4219,19,0,0,0,0,0,0,0,651,4219,0,0,,,0.1543019672908272,1.0,0.0,,0.7154301967290828,,0,0,0,4219,0,4219,4429.95
