grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,07/2025,PDD (R$ MM),1.27729053,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2025,PDD (R$ MM),1.44675898,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2025,PDD (R$ MM),1.30363436,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,04/2025,PDD (R$ MM),1.1857784,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2025,PDD (R$ MM),1.05286547,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,02/2025,PDD (R$ MM),0.9141631899999999,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,08/2024,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,09/2024,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,10/2024,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,11/2024,Vencidos Over 360 d / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,06/2024,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,05/2024,Vencidos Over 360 d (R$ MM),0.0,R$ MM,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
Consignado Delta,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CONSIGNADO DELTA RECEIVABLES I,54.871.427/0001-94,03/2026,Vencidos Over 360 d / Crédito,2.1252653688657805e-07,ratio,Visão Executiva canônica; cache IME local 926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8,.cache/fundonet-ime/926155596bb583065791a4ac4d39084c461462330c4263427b811e0d6362b0a8
